time,target_joint_0_pos,target_joint_0_vel,target_joint_0_acceleration,target_joint_1_pos,target_joint_1_vel,target_joint_1_acceleration,target_joint_2_pos,target_joint_2_vel,target_joint_2_acceleration,target_joint_3_pos,target_joint_3_vel,target_joint_3_acceleration,target_joint_4_pos,target_joint_4_vel,target_joint_4_acceleration,target_joint_5_pos,target_joint_5_vel,target_joint_5_acceleration,
1763636842.960107327,1.010381068,-0.164493407,-0.000000000,-1.770962642,0.197392088,0.000000000,1.995128746,-0.131594725,-0.000000000,-1.907045482,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.962225437,1.010332707,-0.164493407,-0.000000000,-1.770904609,0.197392088,0.000000000,1.995090057,-0.131594725,-0.000000000,-1.907074499,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.964271307,1.010283688,-0.164493407,-0.000000000,-1.770845786,0.197392088,0.000000000,1.995050842,-0.131594725,-0.000000000,-1.907103910,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.966775894,1.010234011,-0.164493407,-0.000000000,-1.770786174,0.197392088,0.000000000,1.995011100,-0.131594725,-0.000000000,-1.907133716,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.968836069,1.010183676,-0.164493407,-0.000000000,-1.770725772,0.197392088,0.000000000,1.994970832,-0.131594725,-0.000000000,-1.907163917,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.970700979,1.010132683,-0.164493407,-0.000000000,-1.770664580,0.197392088,0.000000000,1.994930038,-0.131594725,-0.000000000,-1.907194513,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.972856283,1.010081032,-0.164493407,-0.000000000,-1.770602599,0.197392088,0.000000000,1.994888717,-0.131594725,-0.000000000,-1.907225504,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.974827528,1.010028723,-0.164493407,-0.000000000,-1.770539828,0.197392088,0.000000000,1.994846870,-0.131594725,-0.000000000,-1.907256889,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.976915359,1.009975756,-0.164493407,-0.000000000,-1.770476268,0.197392088,0.000000000,1.994804496,-0.131594725,-0.000000000,-1.907288669,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.979326010,1.009922131,-0.164493407,-0.000000000,-1.770411918,0.197392088,0.000000000,1.994761596,-0.131594725,-0.000000000,-1.907320844,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.980865240,1.009867848,-0.164493407,-0.000000000,-1.770346779,0.197392088,0.000000000,1.994718170,-0.131594725,-0.000000000,-1.907353414,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.983150244,1.009812908,-0.164493407,-0.000000000,-1.770280850,0.197392088,0.000000000,1.994674217,-0.131594725,-0.000000000,-1.907386378,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.985017061,1.009757309,-0.164493407,-0.000000000,-1.770214131,0.197392088,0.000000000,1.994629738,-0.131594725,-0.000000000,-1.907419738,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.987107277,1.009701052,-0.164493407,-0.000000000,-1.770146623,0.197392088,0.000000000,1.994584733,-0.131594725,-0.000000000,-1.907453492,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.989339113,1.009644137,-0.164493407,-0.000000000,-1.770078326,0.197392088,0.000000000,1.994539201,-0.131594725,-0.000000000,-1.907487640,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.991120577,1.009586565,-0.164493407,-0.000000000,-1.770009238,0.197392088,0.000000000,1.994493143,-0.131594725,-0.000000000,-1.907522184,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.993396759,1.009528334,-0.164493407,-0.000000000,-1.769939361,0.197392088,0.000000000,1.994446559,-0.131594725,-0.000000000,-1.907557122,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.995223045,1.009469445,-0.164493407,-0.000000000,-1.769868695,0.197392088,0.000000000,1.994399448,-0.131594725,-0.000000000,-1.907592456,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.997817039,1.009409899,-0.164493407,-0.000000000,-1.769797239,0.197392088,0.000000000,1.994351810,-0.131594725,-0.000000000,-1.907628184,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636842.999626398,1.009349694,-0.164493407,-0.000000000,-1.769724994,0.197392088,0.000000000,1.994303647,-0.131594725,-0.000000000,-1.907664306,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636843.001777172,1.009288832,-0.164493407,-0.000000000,-1.769651959,0.197392088,0.000000000,1.994254957,-0.131594725,-0.000000000,-1.907700824,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636843.003859282,1.009227311,-0.164493407,-0.000000000,-1.769578134,0.197392088,0.000000000,1.994205740,-0.131594725,-0.000000000,-1.907737736,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636843.005957603,1.009165133,-0.164493407,-0.000000000,-1.769503520,0.197392088,0.000000000,1.994155997,-0.131594725,-0.000000000,-1.907775043,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636843.007855892,1.009102296,-0.164493407,-0.000000000,-1.769428116,0.197392088,0.000000000,1.994105728,-0.131594725,-0.000000000,-1.907812745,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636843.009929657,1.009038802,-0.164493407,-0.000000000,-1.769351923,0.197392088,0.000000000,1.994054933,-0.131594725,-0.000000000,-1.907850842,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636843.011893988,1.008974649,-0.164493407,-0.000000000,-1.769274940,0.197392088,0.000000000,1.994003611,-0.131594725,-0.000000000,-1.907889333,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636843.014056206,1.008909839,-0.164493407,-0.000000000,-1.769197167,0.197392088,0.000000000,1.993951762,-0.131594725,-0.000000000,-1.907928220,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636843.016251802,1.008844370,-0.164493407,-0.000000000,-1.769118605,0.197392088,0.000000000,1.993899388,-0.131594725,-0.000000000,-1.907967501,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636843.018104553,1.008778244,-0.164493407,-0.000000000,-1.769039254,0.197392088,0.000000000,1.993846487,-0.131594725,-0.000000000,-1.908007176,-0.098696044,-0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
