time,h_min,d_min,trajectory_error,pos_ee_x,pos_ee_y,pos_ee_z,vel_ee_x,vel_ee_y,vel_ee_z,v_rel_min,scaling
1763636823.974821091,0.401020646,0.872162168,0.019039920,-0.033141641,-0.116135869,1.357182582,0.065009852,-0.021317760,-0.042558717,-0.631886408,1.000000000,
1763636823.977055073,0.400893870,0.872705531,0.019032606,-0.033011597,-0.116178532,1.357097496,0.065034495,-0.021344760,-0.042527291,-0.634017806,1.000000000,
1763636823.979434967,0.400790438,0.873255268,0.019025291,-0.032881504,-0.116221248,1.357012473,0.065058938,-0.021371713,-0.042495728,-0.636139375,1.000000000,
1763636823.981793165,0.400710509,0.873811485,0.019017976,-0.032751362,-0.116264018,1.356927513,0.065083219,-0.021398633,-0.042464053,-0.638251271,1.000000000,
1763636823.983589649,0.400653793,0.874369770,0.019010660,-0.032621171,-0.116306842,1.356842617,0.065107365,-0.021425529,-0.042432286,-0.640340859,1.000000000,
1763636823.986143351,0.400620606,0.874934446,0.019003345,-0.032490932,-0.116349720,1.356757784,0.065131401,-0.021452409,-0.042400444,-0.642420541,1.000000000,
1763636823.987948179,0.400614591,0.875526609,0.018996031,-0.032360645,-0.116392652,1.356673015,0.065155344,-0.021479278,-0.042368539,-0.644548103,1.000000000,
1763636823.990033865,0.400629804,0.876105199,0.018988718,-0.032230311,-0.116435638,1.356588310,0.065179209,-0.021506142,-0.042336582,-0.646609733,1.000000000,
1763636823.992594719,0.401765780,0.876544013,0.018981407,-0.032099929,-0.116478677,1.356503669,0.065203007,-0.021533005,-0.042304580,-0.647377287,1.000000000,
1763636823.994536161,0.405151902,0.876729143,0.018974098,-0.031969499,-0.116521770,1.356419092,0.065226748,-0.021559869,-0.042272540,-0.645633527,1.000000000,
1763636823.996399403,0.408493652,0.876911681,0.018966792,-0.031839022,-0.116564916,1.356334579,0.065250439,-0.021586737,-0.042240467,-0.643908413,1.000000000,
1763636823.998649836,0.411814062,0.877093752,0.018959487,-0.031708497,-0.116608116,1.356250130,0.065274086,-0.021613612,-0.042208365,-0.642190221,1.000000000,
1763636824.000777006,0.415165521,0.877280379,0.018952185,-0.031577925,-0.116651371,1.356165746,0.065297694,-0.021640494,-0.042176237,-0.640451678,1.000000000,
1763636824.002555370,0.418529454,0.877469748,0.018944885,-0.031447306,-0.116694678,1.356081425,0.065321266,-0.021667385,-0.042144087,-0.638702537,1.000000000,
1763636824.004188061,0.421929072,0.877664111,0.018937588,-0.031316640,-0.116738040,1.355997169,0.065344806,-0.021694286,-0.042111915,-0.636930619,1.000000000,
1763636824.006390095,0.425364526,0.877863489,0.018930294,-0.031185927,-0.116781456,1.355912978,0.065368315,-0.021721197,-0.042079724,-0.635135805,1.000000000,
1763636824.008116245,0.428818138,0.878066139,0.018923002,-0.031055167,-0.116824925,1.355828850,0.065391797,-0.021748120,-0.042047515,-0.633327429,1.000000000,
1763636824.010126114,0.432301742,0.878273220,0.018915713,-0.030924360,-0.116868448,1.355744788,0.065415251,-0.021775055,-0.042015290,-0.631499236,1.000000000,
1763636824.012320757,0.435816186,0.878484814,0.018908427,-0.030793506,-0.116912025,1.355660789,0.065438680,-0.021802003,-0.041983048,-0.629650756,1.000000000,
1763636824.014439344,0.439358525,0.878700626,0.018901143,-0.030662605,-0.116955656,1.355576855,0.065462085,-0.021828962,-0.041950791,-0.627783545,1.000000000,
1763636824.016704559,0.442887183,0.878916477,0.018893862,-0.030531658,-0.116999341,1.355492986,0.065485465,-0.021855935,-0.041918518,-0.625919843,1.000000000,
1763636824.018549204,0.446488731,0.879141042,0.018886584,-0.030400664,-0.117043080,1.355409181,0.065508822,-0.021882921,-0.041886232,-0.624013362,1.000000000,
1763636824.020935535,0.450125491,0.879370555,0.018879309,-0.030269623,-0.117086873,1.355325441,0.065532157,-0.021909919,-0.041853931,-0.622084180,1.000000000,
1763636824.023133755,0.453791456,0.879604410,0.018872037,-0.030138535,-0.117130720,1.355241766,0.065555469,-0.021936932,-0.041821617,-0.620135500,1.000000000,
1763636824.025168896,0.458294942,0.879773369,0.018864768,-0.030007401,-0.117174620,1.355158155,0.065578759,-0.021963957,-0.041789288,-0.617351839,1.000000000,
1763636824.027195692,0.466549418,0.879706589,0.018857501,-0.029876220,-0.117218575,1.355074608,0.065602027,-0.021990996,-0.041756947,-0.610989103,1.000000000,
1763636824.029334307,0.474831548,0.879645187,0.018850237,-0.029744993,-0.117262584,1.354991127,0.065625273,-0.022018049,-0.041724592,-0.604607620,1.000000000,
1763636824.031497478,0.481228888,0.879587600,0.018842976,-0.029613719,-0.117306648,1.354907710,0.065648498,-0.022045115,-0.041692223,-0.598312489,1.000000000,
1763636824.033815622,0.486983881,0.879535644,0.018835718,-0.029482399,-0.117350765,1.354824358,0.065671702,-0.022072194,-0.041659842,-0.591968730,1.000000000,
1763636824.035404205,0.492830938,0.879489836,0.018828463,-0.029351032,-0.117394936,1.354741071,0.065694884,-0.022099287,-0.041627448,-0.585546974,1.000000000,
1763636824.037440538,0.498847755,0.879451703,0.018821210,-0.029219619,-0.117439162,1.354657848,0.065718045,-0.022126394,-0.041595040,-0.578963341,1.000000000,
