number,values_0,values_1,params_lambda1,params_lambda2,params_lambda3,state
145,0.33371108592760484,0.02111961243942642,417.9115989289213,12.76959783840962,0.002776761836693331,COMPLETE
146,0.352843143790414,0.018547906607964935,417.9115989289213,0.9549705988400484,0.0008994071660642931,COMPLETE
147,0.36524231717885475,0.02136862647232986,190.98263539189642,0.10999021794368077,0.011285236279223778,COMPLETE
148,0.34984334377708154,0.02588848657284528,0.037555702404925714,1.7553708996959754,43.53241490697324,COMPLETE
149,0.33911072595160324,0.025381213443019735,873.1526177571769,0.11755009196745579,0.004768980354831709,COMPLETE
150,0.3416438904073062,0.015042870480937033,0.1356106356117382,9.273121708234115,0.00029652159780936023,COMPLETE
151,0.34951003266448905,0.021804273778392204,0.1356106356117382,0.005965908750419946,21.569072491214197,COMPLETE
152,0.3663089127391507,0.01812961737233621,4090.4250562243838,1.3973170725818818,2.8415375805954963,COMPLETE
153,0.3418438770748617,0.021797316990378936,0.4658633621122667,0.0022794295629377953,0.012153602231809899,COMPLETE
154,0.3558429438037464,0.024321171781092676,51.816530178960726,0.009771405005695559,31.03350893923145,COMPLETE
155,0.3372441837210853,0.01699999542748373,4.158185645638728,80.43066526554327,60.35834393792696,COMPLETE
156,0.3477101526564896,0.045334121657976754,6635.884855408103,0.0501626519303105,0.0011621093786201118,COMPLETE
157,0.3299780014665689,0.038898213339493386,7971.980216785966,0.0460343044685777,0.002776761836693331,COMPLETE
158,0.351776548230118,0.02377312909335929,51.38939672999612,1.3973170725818818,0.061013765596927214,COMPLETE
159,0.3426438237450837,0.021109773697852226,36.69142648929216,0.0018624612770867563,2.1208252064853124,COMPLETE
160,0.3480434637690821,0.08893419504547134,921.6324218112452,0.0018624612770867563,0.006667805798801799,COMPLETE
161,0.33937737484167724,0.018650964709735696,0.7675136436084571,23.567416464990703,0.0002550065817879624,COMPLETE
162,0.35497633491100594,0.022055662719511926,2.138830181750051,8.05250606137426,26.630667879649653,COMPLETE
163,0.34364375708286116,0.0872920456864195,1499.0745749857142,0.0018624612770867563,26.630667879649653,COMPLETE
164,0.3469102059862676,0.031142712617257314,1499.0745749857142,0.0460343044685777,65.65991415201843,COMPLETE
165,0.3315112325844944,0.02255932747521897,1614.4134057942547,0.19674499141422067,8.396252017010601,COMPLETE
166,0.3470435304313046,0.02342185281197798,2.3905209543013273,815.9273528863137,42.891577809853594,COMPLETE
167,0.3425104993000467,0.025960956181149228,673.223776860986,0.041186019412009243,0.0007831985845757394,COMPLETE
168,0.3511765882274515,0.02329844590008248,0.12475165336805108,0.0018624612770867563,46.30440343512504,COMPLETE
