number,values_0,values_1,params_lambda1,params_lambda3,state
231,0.0,0.07621260596368917,0.014966052888874438,0.01655047370468874,COMPLETE
232,0.0,0.07396655059848518,1.612992827086241,14.019863426985188,COMPLETE
233,0.0,0.07159643446549414,43.30834035782139,2.8568377367341515,COMPLETE
234,0.0,0.07414806942087965,809.1791309266355,0.28557412444415503,COMPLETE
235,0.0,0.0693683276346914,3900.8472453708396,6.505594000042856,COMPLETE
236,0.0,0.07154744363106637,809.1791309266355,0.0002842001539426299,COMPLETE
237,0.0,0.07414832804572397,0.06666467141572965,0.031203028042824307,COMPLETE
238,0.0,0.07893902827594118,0.22231011439950768,0.0022813939542548544,COMPLETE
239,0.0,0.07071264446198651,0.05328987094077747,0.0003403457852178627,COMPLETE
240,0.0,0.07689057451674786,6.270118938295526,0.03809293852379196,COMPLETE
241,0.0,0.07874046583043531,9.317489872128832,0.001241169674480661,COMPLETE
242,0.0,0.06534292479774634,0.019124466336413938,13.77386597342457,COMPLETE
243,0.0,0.07206074469007552,1.2672142964804183,0.0028926365091875702,COMPLETE
244,0.0,0.06819026254600276,1.4434531828568546,0.6281973192600224,COMPLETE
245,0.0,0.07903123557517926,3130.1391752847494,0.015017532020814798,COMPLETE
246,0.0,0.06726492571330567,0.014966052888874438,2.8568377367341515,COMPLETE
247,0.0,0.07093215346734356,809.1791309266355,0.28557412444415503,COMPLETE
248,0.0,0.07013638351451416,4.192998761144268,0.026609889300033083,COMPLETE
249,0.0,0.07444846198109682,10.307263069209377,0.11087240093548927,COMPLETE
250,0.0,0.07424838832416077,0.6525572493615062,5.069385872102636,COMPLETE
251,0.0,0.07531232229136527,1.8190664591240135,0.005013379492933892,COMPLETE
252,0.0,0.0781491226172253,2525.2992654679647,0.035157078527452534,COMPLETE
253,0.0,0.07414819741828577,6069.558954662461,0.002291512878983546,COMPLETE
254,0.0,0.07160796141074977,3.3763508319201603,39.24491990813462,COMPLETE
255,0.0,0.0747529936123074,0.18337877723880724,0.0026216894541690023,COMPLETE
256,0.0,0.07576239755072871,0.24084783188691805,2.851980895336985,COMPLETE
257,0.0,0.07546625587429062,0.7854045393966416,2.8568377367341515,COMPLETE
258,0.0,0.06925718450367438,0.27646553423606857,0.001127055240426541,COMPLETE
259,0.0,0.06891671490121551,10.307263069209377,0.010031953627584632,COMPLETE
260,0.0,0.07794344653284035,6052.7332849440345,0.025892489532927592,COMPLETE
261,0.0,0.07092057156381133,453.82746654592097,0.04877567311240308,COMPLETE
262,0.0,0.07143544646353688,0.12737788072368195,2.851980895336985,COMPLETE
263,0.0,0.07270656635832028,0.6525572493615062,0.1081928938117169,COMPLETE
264,0.0,0.07822743732041994,5381.34340278899,0.002291512878983546,COMPLETE
265,0.0,0.08335077872671909,0.14175848225886795,0.28557412444415503,COMPLETE
266,0.0,0.07183781084680305,809.1791309266355,0.02402623608429687,COMPLETE
267,0.0,0.07090315700936613,79.5886211143723,0.14561645158110942,COMPLETE
268,0.0,0.07521866216833428,1.778396549883784,16.41219491294407,COMPLETE
269,0.0,0.07455275592946402,6069.558954662461,28.767488754665468,COMPLETE
270,0.0,0.07579239825143179,1.4434531828568546,0.6281973192600224,COMPLETE
271,0.0,0.07059452235404537,0.025189659395424606,0.007420753823962881,COMPLETE
272,0.0,0.08101315882147432,0.24084783188691805,0.1375665660731773,COMPLETE
273,0.0,0.07310657802947267,809.1791309266355,0.0022813939542548544,COMPLETE
274,0.0,0.07102467097168777,4.616144317872392,0.015017532020814798,COMPLETE
275,0.0,0.07400711012178829,10.307263069209377,0.09122776883422773,COMPLETE
276,0.0,0.07831433316578197,1.2672142964804183,0.1081928938117169,COMPLETE
277,0.0,0.06877800204814323,1.4434531828568546,0.5407830603594436,COMPLETE
278,0.0,0.08020215855004745,167.24127039872647,0.2669565145838075,COMPLETE
279,0.0,0.07008394313343337,0.07580436784376252,0.0009302131075591245,COMPLETE
280,0.0,0.07307843031905174,752.2757638690068,0.6071195660581225,COMPLETE
281,0.0,0.07326306003876204,809.1791309266355,0.9511231702147503,COMPLETE
282,0.0,0.07465369912351631,49.76220198678533,0.6281973192600224,COMPLETE
283,0.0,0.07040115813095298,28.609382110247772,21.09145387467252,COMPLETE
284,0.0,0.07640120729928819,10.307263069209377,0.11087240093548927,COMPLETE
285,0.0,0.07186571505413741,975.8671130988797,0.0008009227551723009,COMPLETE
286,0.0,0.07364014531597697,6069.558954662461,0.007987577931521262,COMPLETE
287,0.0,0.0698462980505388,809.1791309266355,0.28557412444415503,COMPLETE
288,0.0,0.0771580865105397,0.3027523104453944,0.06170046976955652,COMPLETE
289,0.0,0.07385095499727426,3.3763508319201603,0.28557412444415503,COMPLETE
290,0.0,0.07051101803241952,1.0501218117454125,0.003625759914611108,COMPLETE
291,0.0,0.07411594726196279,35.04670414572725,31.831785695384404,COMPLETE
292,0.0,0.0793767443342185,207.6522125666466,5.150269512632152,COMPLETE
293,0.0,0.07559346279028534,1.2672142964804183,0.1081928938117169,COMPLETE
294,0.0,0.06760399971947519,2.4584547433787884,0.0007127702803752188,COMPLETE
295,0.0,0.07598772671298964,0.18337877723880724,0.03315620029144965,COMPLETE
296,0.0,0.07418415554874931,5.317950323919285,16.41219491294407,COMPLETE
297,0.0,0.06827266981538299,3.3763508319201603,39.24491990813462,COMPLETE
298,0.0,0.07210234232188521,283.78789054711547,0.001892806833694228,COMPLETE
299,0.0,0.07466201597863825,5739.01214580134,0.004559427261693181,COMPLETE
