number,values_0,values_1,params_delta_deg,params_gamma,params_lambda1,params_lambda3,state
139,0.0975,0.5494993338837056,5.691099015795666,2.4312408985744427,503.9931768520296,88.91410239398084,COMPLETE
140,0.1137,0.2967178923760628,1.0232751170556662,3.3551479921822036,5.693017839679813,0.1826003932678413,COMPLETE
141,0.1072,0.49818960460331335,1.0952361469221512,3.349072627011073,2237.8415895002295,0.5993775623888421,COMPLETE
142,0.1164,0.6250038807751396,5.235717673264429,5.581437040713061,0.6083720765092633,0.09046477285472478,COMPLETE
143,0.07815,0.42503927393173874,7.309016090579767,2.368139402117864,1.147631704418901,0.15318219193232085,COMPLETE
144,0.07815,0.3022861684100435,6.958862290979034,2.544742539137642,0.021291504664163,19.99104001765332,COMPLETE
145,0.0879,0.3889793098351184,4.323612991275797,1.1758136195103135,716.3529192442393,0.08355403234321626,COMPLETE
146,0.08165,0.1790079598926118,1.9822442102040336,1.4046483482284298,29.257766505591963,2.8170167880041777,COMPLETE
147,0.1154,0.4971486800581754,1.725904925943869,3.198725898888523,2313.9683548246926,10.475882099332132,COMPLETE
148,0.077,0.37415746642467923,6.086053401403324,2.8320734546831314,0.04102984570986746,2.1102891532478085,COMPLETE
149,0.08595,0.5899260477047152,7.339695485358947,7.451337432117496,0.4111694316312813,11.34645454198699,COMPLETE
150,0.10305,0.3023051276775574,3.58313464608959,4.144651829759461,0.33545717069597697,2.7260540493360885,COMPLETE
151,0.12635,0.7478143499173904,1.725904925943869,9.413482932589199,874.1330303163832,0.6805162092954433,COMPLETE
152,0.0982,0.3354602137570152,3.2342614694771625,1.699503393970215,0.3991416433153113,0.02905967905537422,COMPLETE
153,0.07625,0.35203400903361454,3.58313464608959,2.7857507304507183,2.136762935747518,0.42674945598165653,COMPLETE
154,0.0667,0.19828822993159506,5.827113301687939,1.3296769002026185,0.025890681393685437,0.5985950343657075,COMPLETE
155,0.06905,0.37699635631641726,4.940397068324327,3.0352039660395387,2.136762935747518,0.725005173883511,COMPLETE
156,0.0813,0.2812242015683667,5.608567316603186,2.6851029970103544,0.013312218698214922,13.846907547344033,COMPLETE
157,0.10465,0.499470302297705,3.9991657306056503,2.395863875504564,1433.6859436079505,12.552667171137678,COMPLETE
158,0.07985,0.3836215669999025,7.257271731141275,1.8145138315019835,165.4041457150081,51.837057486367705,COMPLETE
159,0.08895,0.2256212916681552,2.9749567558335412,1.699503393970215,53.18440558386166,23.35585477562936,COMPLETE
160,0.1057,0.6861853363634444,5.34350018162054,3.0352039660395387,6755.71174442274,2.1102891532478085,COMPLETE
161,0.07835,0.3541970058804045,1.8892823822974358,1.4973801307178418,632.6228905046459,23.35585477562936,COMPLETE
