number,values_0,values_1,params_delta_deg,params_gamma,params_lambda1,params_lambda2,params_lambda3,params_lambda4,state
99,0.04285,0.2092169936704233,5.772100366242379,1.0740453559242513,62.43778013936985,11.739481102126906,3.616911213787438,1.1993391736258183e-07,COMPLETE
100,0.0684,0.4591972362380113,5.826108180232255,3.812714163562798,0.18468504546596953,52.53348631792806,67.49308648755478,2.5990352100160697e-05,COMPLETE
101,0.0746,0.5100410230654635,3.518596375525721,2.5033277105189193,0.5606287050152496,110.16646134717259,2.606433764399818,1.8431204815790718e-06,COMPLETE
102,0.0762,0.42823059801361524,3.046425174476959,3.2243370920705345,62.43778013936985,4.703038707832875,3.616911213787438,1.1993391736258183e-07,COMPLETE
103,0.0619,0.33782233938011486,3.7523591558107,2.0117238004086353,1.0946066447217027,110.16646134717259,34.574222073764446,1.7411112824373338e-14,COMPLETE
104,0.05145,0.43199622019773115,6.103623020551158,2.839979984936102,0.21068030120772424,0.08777741099799043,0.06896807247569771,1.1682701663189634e-13,COMPLETE
105,0.05955,0.25374884823974175,1.7387701998600082,1.5146155007856774,0.6692662370797108,0.23753412400993776,46.83459773148538,8.404943762538142e-14,COMPLETE
106,0.099,0.6921465380897335,5.719667260978259,6.875144787901625,208.22607295194175,0.1013397086496358,0.01777158201797886,3.787929895519139e-07,COMPLETE
107,0.0463,0.28261446345116853,5.826108180232255,1.7519510271087413,1.8442663426239594,5.054984284069897,76.57127726580364,1.621364679176634e-08,COMPLETE
108,0.0675,0.6072487928736354,4.958426658725357,3.3801923275388828,104.61067826393281,0.3710234766141632,80.46577679760097,3.649569116806477e-06,COMPLETE
